tipo,material,producto,unidad,largo_cm,ancho_cm,alto_cm,orientacion,fuente_dimension,lineas,cantidad_total,peso_kg_total,volumen_m3_total,palets_total
caja,0VE0506,HALLAZGO JOVEN 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,130,194.0,1455.0,0.8729999999999999,1.8476190476190477
caja,0VE0507,HALLAZGO CRIANZA 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,53,73.0,547.5,0.32849999999999996,0.6952380952380953
caja,0VE0542,IRREVERENTE TINTO JOVEN 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,7,8.0,60.0,0.036,0.06956521739130435
caja,0VE0543,IRREVERENTE TINTO ROBLE 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,21,58.0,435.0,0.26099999999999995,0.5523809523809524
caja,0VE0544,IRREVERENTE TINTO CRIANZA 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,6,7.0,52.5,0.0315,0.06666666666666668
caja,0VE0666,PORTIA VERDEJO 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,4,4.0,20.0,0.091872,0.032
caja,0VE0973,FINCA LOS TRENZONES VERDEJO 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,5,7.0,31.5,0.0315,0.058333333333333334
caja,0VE1004,CAMPILLO TINTO CRIANZA 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,1,1.0,0.0,0.0045,0.009523809523809525
caja,0VE1062,GATA NEGRA TINTO JOVEN 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,2,2.0,0.0,0.009,0.016
caja,0VE1063,GATA BLANCA BLANCO JOVEN  75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,3,3.0,0.0,0.013499999999999998,0.024
caja,0VE1064,MARQUES VITORIA VERDEJO 75CL  6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,1,1.0,5.0,0.0045,0.008695652173913044
caja,0VE1403,MARQUES VITORIA TINTO JOVEN 75CL  6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,1,3.0,15.0,0.013499999999999998,0.02608695652173913
caja,0VE2132,MONTERIO BLANCO ROSCA 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,28,68.0,306.0,0.2856,0.5666666666666667
caja,0VE2133,MONTERIO TINTO ROSCA 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,47,77.0,346.5,0.3234,0.6416666666666666
caja,0VE2200,TORRACOLLONS BLANCO 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,10,13.0,0.0,0.058499999999999996,0.11818181818181818
caja,0VE2202,TORRACOLLONS TINTO 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,7,7.0,0.0,0.0315,0.06363636363636363
caja,0VE3310,CAMPILLO VERDEJO SOBRE LIAS 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,1,1.0,0.0,0.022968,0.008
caja,0ZU0006,GRANINI NARANJA 33CL PET 12U,CAJ,41.0,27.0,19.0,horizontal,ZM040 dimensiones directas,14,19.0,85.5,0.07524,0.15079365079365079
caja,0ZU0009,GRANINI MELOCOTON 1L PET 6U,CAJ,25.0,17.0,25.0,horizontal,ZM040 dimensiones directas,8,10.0,85.0,0.06,0.10526315789473684
caja,0ZU0010,GRANINI NARANJA 1L PET 6U,CAJ,25.0,17.0,25.0,horizontal,ZM040 dimensiones directas,13,45.0,382.5,0.27,0.47368421052631576
caja,0ZU0013,GRANINI PIÑA 1L PET 6U,CAJ,25.0,17.0,25.0,horizontal,ZM040 dimensiones directas,12,18.0,153.0,0.108,0.1894736842105263
caja,0ZU0016,GRANINI 100% MANZANA  1L PET 6U,CAJ,25.0,17.0,25.0,horizontal,ZM040 dimensiones directas,3,3.0,25.5,0.018000000000000002,0.031578947368421054
caja,0ZU0017,GRANINI COCTEL FRUTAS 20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,5,5.0,42.0,0.023999999999999997,0.05555555555555556
caja,0ZU0020,GRANINI MELOCOTON  20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,434,580.0,4872.0,2.784,6.444444444444445
caja,0ZU0021,GRANINI NARANJA 20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,224,299.0,2511.6,1.4351999999999998,3.3222222222222224
